brightness,gauss_amp,gauss_amp_unc,gaussian_width,gaussian_width_unc,int_wv,obs_line_center,obs_line_center_unc
1.746114041786471e-17,3.637399551327239e-17,8.2880212012899e-18,0.1915100906132453,0.050381805869223244,1313.249,1313.1517202785906,0.050381804900770696
6.505701905905862e-16,1.2786305436768467e-15,3.0328978833261683e-17,0.20298275892038892,0.005559620676793814,1316.542,1316.563238166985,0.005559620630908627
6.505711879597754e-16,1.2786311965937079e-15,3.03909440832661e-17,0.20298296645628636,0.005570992958377886,1316.618,1316.5632382670829,0.005570992867669739
3.080659326246904e-16,5.890264456898583e-16,2.1086400842034576e-17,0.20865026786929575,0.008624672044958433,1323.515,1323.5479761316578,0.008624671890789458
3.0806657784659005e-16,5.890268568606561e-16,2.1071741802940472e-17,0.20865055922341125,0.008618702168642623,1323.522,1323.547976263241,0.008618702025004562
7.435323837351842e-17,1.605436694127315e-16,1.1582152927367983e-17,0.18476375045162904,0.015390665554247169,1326.643,1326.6853916661303,0.015390665376042981
5.883712223285823e-16,9.236589631551394e-16,2.634635717025523e-17,0.2541264325054982,0.008370113720248817,1381.552,1381.4814866694328,0.008370113564716107
3.5079870211620944e-16,5.398596084058188e-16,1.9658340433680463e-17,0.2592311630747204,0.01089984342329383,1385.51,1385.5179038531514,0.01089984325698621
2.0372758753957693e-15,2.5071811010093014e-15,9.006680620520623e-17,0.3241710314464428,0.0134472730540497,1388.435,1388.4698963515582,0.01344726507622723
2.069250025068088e-15,2.5213161717079e-15,1.0429669854799316e-16,0.32741285404209997,0.01589273976795338,1389.154,1388.4699646408224,0.01551109282411242
6.036580878702076e-16,9.123427321661387e-16,2.777248788982749e-17,0.26396301046420195,0.009278242034968024,1392.588,1392.595852214082,0.009278241816803626
1.5331045563304596e-15,2.243060928649505e-15,3.897363188021756e-17,0.27267214188628514,0.0054707074930417186,1396.112,1396.129267376595,0.005470707401735442
4.312327732211134e-16,7.459817622117837e-16,2.4045394010163918e-17,0.23061821970363894,0.00858340601400388,1401.514,1401.5185149046845,0.008583405894569325
2.253152614270342e-16,4.521772397734858e-16,1.92188626999099e-17,0.1987888294598253,0.009756463456530362,1409.337,1409.3250419191181,0.00975646336866333
1.1404108307525996e-16,1.860217037043173e-16,1.3873419858501423e-17,0.24457258930285536,0.021061382607686842,1412.873,1412.9470230457132,0.0210613824072728
1.9878505397463817e-15,3.814471993089355e-15,6.529337427946162e-17,0.20790233323521046,0.004109221462729992,1425.03,1425.0736467810673,0.004109221442409128
1.9878518863068106e-15,3.814472854087501e-15,6.494478342518477e-17,0.20790242713976248,0.004087286059924085,1425.219,1425.0736468029772,0.004087286028618383
6.462607442613819e-33,2.5782073515547076e-33,2.4890186680781196e-34,0.9999999995892186,2.34595668120058e-10,1433.28,1433.2799999995011,1.726328084819067e-10
1.2030334263675265e-32,4.7994089872410246e-33,4.66020661889526e-34,0.9999999995626705,3.789550136162826e-10,1433.311,1433.3110000002262,2.780665593418457e-10
-3.4278301876905985e-33,-1.3675063939123156e-33,1.3201916849266479e-34,0.9999999985329815,2.030281705998978e-10,1436.968,1436.9680000006472,1.4940217377173553e-10
